Key;Title;Description
"NL01    ";"Nederland";""
"LD01    ";"Noord-Nederland (LD)";"Noord-Nederland: Groningen, Friesland, Drenthe"
"LD02    ";"Oost-Nederland (LD)";"Oost-Nederland: Overijssel, Flevoland, Gelderland"
"LD03    ";"West-Nederland (LD)";"West-Nederland: Utrecht, Noord-Holland, Zuid-Holland, Zeeland"
"LD04    ";"Zuid-Nederland (LD)";"Zuid-Nederland: Noord-Brabant, Limburg"
"PV20    ";"Groningen (PV)";"PV = Provincie"
"PV21    ";"Friesland (PV)";"PV = Provincie"
"PV22    ";"Drenthe (PV)";"PV = Provincie"
"PV23    ";"Overijssel (PV)";"PV = Provincie"
"PV24    ";"Flevoland (PV)";"PV = Provincie"
"PV25    ";"Gelderland (PV)";"PV = Provincie"
"PV26    ";"Utrecht (PV)";"PV = Provincie"
"PV27    ";"Noord-Holland (PV)";"PV = Provincie"
"PV28    ";"Zuid-Holland (PV)";"PV = Provincie"
"PV29    ";"Zeeland (PV)";"PV = Provincie"
"PV30    ";"Noord-Brabant (PV)";"PV = Provincie"
"PV31    ";"Limburg (PV)";"PV = Provincie"
"1018850 ";"Zeer sterk stedelijk";"Op grond van de omgevingsadressendichtheid is aan iedere buurt, wijk of gemeente een stedelijkheidsklasse toegekend."
"1018905 ";"Sterk stedelijk";"Op grond van de omgevingsadressendichtheid is aan iedere buurt, wijk of gemeente een stedelijkheidsklasse toegekend."
"1018955 ";"Matig stedelijk";"Op grond van de omgevingsadressendichtheid is aan iedere buurt, wijk of gemeente een stedelijkheidsklasse toegekend."
"1019005 ";"Weinig stedelijk";"Op grond van de omgevingsadressendichtheid is aan iedere buurt, wijk of gemeente een stedelijkheidsklasse toegekend."
"1019052 ";"Niet stedelijk";"Op grond van de omgevingsadressendichtheid is aan iedere buurt, wijk of gemeente een stedelijkheidsklasse toegekend."

